City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Kokopo,PG,2022-02-05 22:55:42,-4.352,152.2633,82.51,64,90,4.52
182,Sai Buri,TH,2022-02-05 22:55:42,6.7013,101.6168,76.26,84,82,10.07
183,Chumikan,RU,2022-02-05 22:53:12,54.7183,135.315,-2.33,79,100,12.93
184,Antofagasta,CL,2022-02-05 22:55:43,-23.65,-70.4,69.08,77,7,6.24
185,Georgetown,MY,2022-02-05 22:53:01,5.4112,100.3354,79.9,90,20,1.99
186,Kahului,US,2022-02-05 22:51:39,20.8947,-156.47,82.42,67,40,11.5
187,Kizema,RU,2022-02-05 22:55:43,61.113,44.8302,2.55,98,72,4.29
188,Longyearbyen,SJ,2022-02-05 22:53:48,78.2186,15.6401,10.24,61,20,20.71
189,Zhicheng,CN,2022-02-05 22:55:44,30.2956,111.5047,38.62,72,100,6.04
190,Inhambane,MZ,2022-02-05 22:55:44,-23.865,35.3833,77.76,74,8,16.06
191,Hofn,IS,2022-02-05 22:55:45,64.2539,-15.2082,28.2,64,71,13.51
192,Hami,CN,2022-02-05 22:55:45,42.8,93.45,25.81,29,100,6.62
193,Marawi,PH,2022-02-05 22:55:45,7.9986,124.2928,65.64,86,13,1.81
194,Umba,RU,2022-02-05 22:55:46,66.6871,34.3429,18.95,94,100,16.33
195,Seymchan,RU,2022-02-05 22:55:48,62.8833,152.4333,-41.93,99,74,0.92
196,Hermiston,US,2022-02-05 22:52:12,45.8404,-119.2895,57.11,50,0,8.05
197,Toyooka,JP,2022-02-05 22:55:48,35.5333,134.8333,32.11,80,100,12.03
198,Srandakan,ID,2022-02-05 22:55:49,-7.9386,110.2506,63.73,86,65,2.8
199,Kawalu,ID,2022-02-05 22:55:49,-7.3817,108.2082,72.5,95,95,2.55
200,Saint George,US,2022-02-05 22:52:42,37.1041,-113.5841,61.27,17,0,1.01
201,Ranong,TH,2022-02-05 22:55:49,9.9658,98.6348,75.9,87,65,4.54
202,Praxedis Guerrero,MX,2022-02-05 22:55:50,31.3667,-106.0167,47.55,23,0,3.71
203,Abalak,RU,2022-02-05 22:55:50,58.1286,68.5944,11.03,94,100,4.03
204,Kokkola,FI,2022-02-05 22:55:50,63.8385,23.1307,30.36,86,100,9.22
205,Naryan-Mar,RU,2022-02-05 22:55:51,67.6713,53.087,0.63,94,97,12.1
206,Nouadhibou,MR,2022-02-05 22:55:51,20.931,-17.0347,66.18,94,0,14.97
207,Norman Wells,CA,2022-02-05 22:54:09,65.282,-126.8329,-3.66,91,98,6.67
208,Bonavista,CA,2022-02-05 22:47:52,48.6499,-53.1147,43.12,99,100,7.36
209,Erenhot,CN,2022-02-05 22:55:52,43.6475,111.9767,2.34,89,5,7.45
210,Sotouboua,TG,2022-02-05 22:55:52,8.5667,0.9833,76.86,21,0,2.28
211,The Valley,AI,2022-02-05 22:47:17,18.217,-63.0578,76.1,100,75,12.66
212,Kashiwazaki,JP,2022-02-05 22:55:53,37.3667,138.55,27.88,72,100,17.58
213,Kalevala,RU,2022-02-05 22:55:54,65.2,31.1667,19.69,95,100,10.0
214,Bilibino,RU,2022-02-05 22:53:29,68.0546,166.4372,-15.36,89,12,4.72
215,Okhotsk,RU,2022-02-05 22:46:02,59.3833,143.3,-5.46,70,37,13.47
216,Panjab,AF,2022-02-05 22:55:55,34.388,67.0233,22.05,96,99,6.64
217,Champoton,MX,2022-02-05 22:55:55,19.35,-90.7167,73.58,79,90,16.33
218,Oussouye,SN,2022-02-05 22:47:24,12.485,-16.5469,77.18,64,1,6.4
219,Khatanga,RU,2022-02-05 22:55:11,71.9667,102.5,-21.73,97,99,3.53
220,Bengkulu,ID,2022-02-05 22:54:12,-3.8004,102.2655,72.77,96,100,7.83
221,Flin Flon,CA,2022-02-05 22:55:56,54.7682,-101.865,-2.36,60,75,6.91
222,Tura,IN,2022-02-05 22:55:56,25.5198,90.2201,47.95,92,0,2.55
223,Belmonte,BR,2022-02-05 22:53:57,-15.8631,-38.8828,73.9,85,81,7.36
224,Fairbanks,US,2022-02-05 22:51:31,64.8378,-147.7164,14.81,78,100,0.0
225,Bambous Virieux,MU,2022-02-05 22:55:57,-20.3428,57.7575,79.21,89,40,11.5
226,Saiha,IN,2022-02-05 22:55:57,22.4833,92.9667,50.67,98,64,1.41
227,Clyde River,CA,2022-02-05 22:46:38,70.4692,-68.5914,-28.97,68,75,5.75
228,Strelka,RU,2022-02-05 22:55:58,58.0728,93.0344,18.57,94,100,7.2
229,Turbat,PK,2022-02-05 22:55:58,26.0023,63.044,64.49,79,0,2.13
230,Leningradskiy,RU,2022-02-05 22:45:58,69.3833,178.4167,-21.35,96,9,3.6
231,Colquechaca,BO,2022-02-05 22:55:58,-18.6667,-66.0167,35.85,83,97,6.87
232,Ust-Maya,RU,2022-02-05 22:55:59,60.4167,134.5333,-31.22,100,100,1.77
233,Bida,NG,2022-02-05 22:55:59,9.0833,6.0167,78.8,17,0,6.58
234,Tevaitoa,PF,2022-02-05 22:46:45,-16.7833,-151.5,81.34,73,6,19.8
235,Bredasdorp,ZA,2022-02-05 22:51:40,-34.5322,20.0403,68.29,77,83,21.85
236,Jodar,ES,2022-02-05 22:56:00,37.8406,-3.3526,53.2,74,62,3.42
237,Katherine,AU,2022-02-05 22:56:00,-14.4667,132.2667,77.32,88,94,4.61
238,Jijiga,ET,2022-02-05 22:48:09,9.35,42.8,60.85,24,18,9.31
239,Port Hedland,AU,2022-02-05 22:46:12,-20.3167,118.5667,84.25,84,74,8.05
240,Mahendragarh,IN,2022-02-05 22:55:06,28.2833,76.15,47.19,81,3,2.82
241,Te Anau,NZ,2022-02-05 22:46:34,-45.4167,167.7167,59.52,49,13,4.43
242,General Roca,AR,2022-02-05 22:56:01,-39.0333,-67.5833,77.4,27,0,9.69
243,Huarmey,PE,2022-02-05 22:51:49,-10.0681,-78.1522,73.76,76,12,10.69
244,Muli,MV,2022-02-05 22:56:02,2.9167,73.5667,81.86,65,63,8.14
245,Saldanha,ZA,2022-02-05 22:56:02,-33.0117,17.9442,73.45,72,34,4.14
246,Havoysund,NO,2022-02-05 22:52:54,70.9963,24.6622,29.28,72,46,32.91
247,San Quintin,MX,2022-02-05 22:56:03,30.4833,-115.95,62.28,31,0,7.7
248,Sur,OM,2022-02-05 22:52:47,22.5667,59.5289,70.79,52,0,5.99
249,Jizan,SA,2022-02-05 22:56:03,17.3333,42.6667,77.94,59,0,5.03
250,Hohhot,CN,2022-02-05 22:56:04,40.8106,111.6522,-0.11,71,0,8.95
251,Labuan,MY,2022-02-05 22:56:04,5.2767,115.2417,80.96,83,20,1.99
252,Nalut,LY,2022-02-05 22:56:04,30.3333,10.85,55.72,21,100,10.76
253,Nagaur,IN,2022-02-05 22:56:05,27.2,73.7333,56.48,40,0,9.8
254,Shimanovsk,RU,2022-02-05 22:56:05,52.0,127.7,-8.64,95,55,4.81
255,Verkhnevilyuysk,RU,2022-02-05 22:47:49,63.4453,120.3167,-24.52,100,72,2.3
256,Raipur,IN,2022-02-05 22:56:05,21.2333,81.6333,56.61,29,23,3.56
257,Netphen,DE,2022-02-05 22:56:06,50.9167,8.1,42.66,75,99,1.99
258,Havelock,US,2022-02-05 22:52:56,34.8791,-76.9013,44.6,59,20,7.0
259,Aklavik,CA,2022-02-05 22:48:08,68.2191,-135.0107,-35.57,66,40,0.0
260,Sitka,US,2022-02-05 22:51:31,57.0531,-135.33,42.69,75,100,20.71
261,Narsaq,GL,2022-02-05 22:52:52,60.9167,-46.05,-6.97,71,50,5.82
262,Aviles,ES,2022-02-05 22:56:07,43.5547,-5.9248,45.93,80,0,1.99
263,Andra,RU,2022-02-05 22:47:06,62.5147,65.8878,4.28,96,89,4.59
264,Krasnoselkup,RU,2022-02-05 22:56:07,65.7,82.4667,-16.56,100,93,5.12
265,Dingle,PH,2022-02-05 22:52:13,10.9995,122.6711,74.95,85,91,10.89
266,College,US,2022-02-05 22:52:57,64.8569,-147.8028,14.79,78,75,3.44
267,Muros,ES,2022-02-05 22:56:08,42.7762,-9.0603,50.23,74,1,10.89
268,Rawson,AR,2022-02-05 22:48:16,-43.3002,-65.1023,61.56,46,0,10.6
269,Bonthe,SL,2022-02-05 22:56:08,7.5264,-12.505,76.77,85,35,5.73
270,Praya,CV,2022-02-05 22:52:02,14.9215,-23.5087,72.14,68,0,13.8
